Date,PKR,USD
2011-10-17,86.644815,1.0
2011-10-18,86.760135,1.0
2011-10-19,86.706221,1.0
2011-10-20,86.806232,1.0
2011-10-21,86.899316,1.0
2011-10-22,86.899316,1.0
2011-10-23,86.899316,1.0
2011-10-24,86.742071,1.0
2011-10-25,86.852224,1.0
2011-10-26,86.911535,1.0
2011-10-27,86.825841,1.0
2011-10-28,86.772254,1.0
2011-10-29,86.772254,1.0
2011-10-30,86.772254,1.0
2011-10-31,86.534717,1.0
2011-11-01,86.105894,1.0
2011-11-02,86.18397,1.0
2011-11-03,86.225708,1.0
2011-11-04,86.345644,1.0
2011-11-05,86.345644,1.0
2011-11-06,86.345644,1.0
2011-11-07,86.283949,1.0
2011-11-08,87.68484,1.0
2011-11-09,86.351222,1.0
2011-11-10,86.700048,1.0
2011-11-11,86.725416,1.0
2011-11-12,86.725416,1.0
2011-11-13,86.725416,1.0
2011-11-14,86.640928,1.0
2011-11-15,86.906372,1.0
2011-11-16,87.026885,1.0
2011-11-17,86.971599,1.0
2011-11-18,86.957089,1.0
2011-11-19,86.954903,1.0
2011-11-20,87.048891,1.0
2011-11-21,87.244116,1.0
2011-11-22,87.363139,1.0
2011-11-23,87.427728,1.0
2011-11-24,87.56484,1.0
2011-11-25,87.886684,1.0
2011-11-26,87.921335,1.0
2011-11-27,87.787068,1.0
2011-11-28,88.007632,1.0
2011-11-29,88.279681,1.0
2011-11-30,88.743027,1.0
2011-12-01,88.788194,1.0
2011-12-02,89.452655,1.0
2011-12-03,89.474356,1.0
2011-12-04,89.443971,1.0
2011-12-05,89.388136,1.0
2011-12-06,89.425466,1.0
2011-12-07,89.330637,1.0
2011-12-08,88.989783,1.0
2011-12-09,89.057956,1.0
2011-12-10,89.058957,1.0
2011-12-11,89.058957,1.0
2011-12-12,89.217025,1.0
2011-12-13,89.128688,1.0
2011-12-14,89.609062,1.0
2011-12-15,89.642304,1.0
2011-12-16,89.714698,1.0
2011-12-17,89.714698,1.0
2011-12-18,89.714698,1.0
2011-12-19,89.823319,1.0
2011-12-20,89.955076,1.0
2011-12-21,90.010025,1.0
2011-12-22,89.692657,1.0
2011-12-23,89.205796,1.0
2011-12-24,89.205796,1.0
2011-12-25,89.205796,1.0
2011-12-26,89.260796,1.0
2011-12-27,89.873139,1.0
2011-12-28,90.032261,1.0
2011-12-29,89.887178,1.0
2011-12-30,89.960091,1.0
2011-12-31,89.960091,1.0
2012-01-01,89.960091,1.0
2012-01-02,89.952397,1.0
2012-01-03,90.128338,1.0
2012-01-04,90.294911,1.0
2012-01-05,90.409567,1.0
2012-01-06,90.686324,1.0
2012-01-07,90.691321,1.0
2012-01-08,90.691321,1.0
2012-01-09,90.783056,1.0
2012-01-10,90.010012,1.0
2012-01-11,90.011151,1.0
2012-01-12,90.099974,1.0
2012-01-13,90.362338,1.0
2012-01-14,90.362338,1.0
2012-01-15,90.362338,1.0
2012-01-16,90.319789,1.0
2012-01-17,90.395659,1.0
2012-01-18,90.247047,1.0
2012-01-19,90.057982,1.0
2012-01-20,90.230948,1.0
2012-01-21,90.230948,1.0
2012-01-22,90.230948,1.0
2012-01-23,90.265767,1.0
2012-01-24,90.246134,1.0
2012-01-25,90.270226,1.0
2012-01-26,90.251965,1.0
2012-01-27,90.22506,1.0
2012-01-28,90.200062,1.0
